id,name,address,phone,description,lat,lng,locales
d011,ΆΡΩΜΑ ΚΑΠΝΟΥ,"ΑΓΙΟΥ ΑΝΔΡΕΟΥ 100,  ΠΑΤΡΑ 262 21",2614006528,ΕΙΔΗ ΔΩΡΩΝ - ΔΙΟΝΥΣΑΤΟΥ ΕΡΜΙΟΝΗ,,,el|en
d012,DOUBLESHOP HRWWN POLUTEXNEIOU,"ΗΡΩΩΝ ΠΟΛΥΤΕΧΝΕΙΟΥ, ΜΑΥΡΟΒΟΥΝΙΟΥ 148, ΛΑΡΙΣΑ 412 23",2410552700,"ΤΟ “DOUBLE SHOP” ΑΠΟΤΕΛΕΙ ΜΙΑ ΚΑΙΝΟΤΟΜΙΑ ΣΤΗΝ ΑΓΟΡΑ ΤΩΝ ΣΥΓΧΡΟΝΩΝ ΚΑΤΑΣΤΗΜΑΤΩΝ ΚΑΦΕ, ΠΟΙΟΤΙΚΟΥ SNACKING ΚΑΙ ΜΙΚΡΗΣ ΛΙΑΝΙΚΗΣ ΜΕ ΕΔΡΑ ΤΗΝ ΠΟΛΗ ΤΗΣ ΛΑΡΙΣΑΣ!",,,el|en
d013,"ΆΡΩΜΑ ΚΑΠΝΟΥ, ΕΙΔΗ ΚΑΠΝΙΣΤΟΥ","ΈΛΛΗΝΟΣ ΣΤΡΑΤΙΩΤΟΥ 98-104, ΠΑΤΡΑ 264 41",2614014059,ΔΙΟΝΥΣΑΤΟΥ ΕΡΜΙΟΝΗ,,,el|en
d014,KAPNOMANIA,"ΠΕΤΡΟΥ ΡΑΛΛΗ 525, ΝΙΚΑΙΑ 184 50",2104250329,"Η ΕΤΑΙΡΙΑ KAPNOMANIA.GR ΔΙΑΘΕΤΕΙ ΠΡΟΪΟΝΤΑ ΗΛΕΚΤΡΟΝΙΚΟΥ ΚΑΠΝΙΣΜΑΤΟΣ Η ΑΤΜΙΣΜΑΤΟΣ ΟΠΩΣ ΕΙΝΑΙ Ο ΔΟΚΙΜΟΣ ΟΡΟΣ ΚΑΘΩΣ ΕΠΙΣΗΣ ΚΑΙ ΠΛΟΥΣΙΑ ΣΥΛΛΟΓΗ ΑΠΟ ΠΡΟΣΕΓΜΕΝΑ ΑΞΕΣΟΥΑΡ ΟΠΩΣ ΘΗΚΕΣ ΚΑΠΝΟΥ, ΑΝΑΠΤΗΡΕΣ, ΤΑΜΠΑΚΙΕΡΕΣ, ΤΑΣΑΚΙΑ ΚΑΙ ΠΟΛΛΑ ΑΚΟΜΗ ΕΙΔΗ.",,,el|en
d015,SMOKE CARTEL,"ΠΛΑΤΕΙΑ ΒΑΣΩΣ ΚΑΤΡΑΚΗ 4, ΓΛΥΦΑΔΑ 166 75",2111130329,ΠΡΟΪΟΝΤΑ ΚΑΠΝΟΥ,,,el|en
d016,ΠΕΡΙ ΣΤΡΙΦΤΟΥ,"ΝΙΚΗΦΟΡΙΔΗ ΝΙΚΗΦΟΡΟΥ 8, 16231 ΒΥΡΩΝΑΣ ΑΤΤΙΚΗΣ",2107664042,ΕΙΔΗ ΚΑΠΝΙΣΤΟΥ,,,el|en
d017,ΣΟΦΙΚΙΤΗ ΌΛΓΑ ΚΟΥΝΤΟΥΡΑΚΗΣ ΠΑΝΤΕΛΗΣ ΟΕ,"ΑΔΑΜΑΝΤΑΣ, ΜΗΛΟΣ, 84800, ΚΥΚΛΑΔΩΝ",2287023593,ΠΡΑΤΗΡΙΟ ΤΣΙΓΑΡΩΝ,,,el|en
d018,WILD THINK,"ΙΔΟΜΕΝΕΩΣ 38, ΗΡΑΚΛΕΙΟ 712 02",2810241463,ΚΑΤΑΣΤΗΜΑ ΑΝΔΡΙΚΩΝ ΕΝΔΥΜΑΤΩΝ,,,el|en
d019,ΜΠΟΥΣΕΚΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ Α.,"ΜΑΡΜΑΡΟ, ΚΑΡΔΑΜΥΛΑ, 82300, ΧΙΟΥ",2272022576,ΠΑΝΤΟΠΩΛΕΙΟ,,,el|en
d020,THE VAPE AVENUE,"ΠΛ. ΝΙΚΗΣ 5, ΚΟΖΑΝΗ 501 31",2461024402,ΕΙΔΗ ΚΑΠΝΙΣΤΟΥ,,,el|en
d021,ΠΑΠΑΖΟΓΛΟΥ ΙΩΑΝΝΗΣ Μ.,"ΖΙΠΑΡΙ, ΚΩΣ 85300, ΔΩΔΕΚΑΝΗΣΩΝ",2242069393,"MINI MARKET, ΠΑΝΤΟΠΩΛΕΙΟ",,,el|en
d022,ΚΡΑΣΣΑΣ ΑΝΤΩΝΙΟΣ Θ.,ΑΣΤΥΠΑΛΑΙΑ ΔΩΔΕΚΑΝΗΣΟΥ 85900,2243061384,ΨΙΛΙΚΑ ΕΙΔΗ,,,el|en
d023,ΑΦΟΙ ΚΑΡΟΥΣΟΥ Ο.Ε,"ΠΟΤΑΜΙΑΝΑΤΑ, ΑΓΙΑ ΕΥΦΗΜΙΑ, 28081, ΚΕΦΑΛΛΗΝΙΑΣ",2674061230,ΣΟΥΠΕΡ ΜΑΡΚΕΤ,,,el|en
d024,ΠΑΧΗΣ ΝΙΚΟΛΑΟΣ,"ΠΗΓΑΔΙΑ, 85700 ΚΑΡΠΑΘΟΣ",2245023122,ΜΙΝΙ ΜΑΡΚΕΤ,,,el|en
d025,ΓΕΩΡΓΑΚΟΠΟΥΛΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ Σ.,"ΗΡΟΔΟΤΟΥ 1, ΚΑΛΑΜΑΤΑ 24100",2721082509,ΕΜΠΟΡΙΟ ΖΑΧΑΡΩΔΩΝ ΠΡΟΪΟΝΤΩΝ,,,el|en
d026,"FROUTOMANIA, ΛΕΒΕΝΤΟΓΙΑΝΝΗΣ ΧΡΟΝΗΣ","ΠΑΤΡΙΑΡΧΟΥ ΚΩΝΣΤΑΝΤΙΝΟΥΠΟΛΕΩΣ ΚΥΡΙΛΛΟΥ 5 & ΑΓΙΟΥ ΑΔΡΙΑΝΟΥ, ΝΑΥΠΛΙΟ, 21100, ΑΡΓΟΛΙΔΑΣ",2752099380,ΜΙΝΙ ΜΑΡΚΕΤ,,,el|en
d027,JUST THE SMOKY,"25ΗΣ ΜΑΡΤΙΟΥ 131, ΠΕΤΡΟΥΠΟΛΗ 132 31",2105050558,"ΕΙΔΗ ΚΑΠΝΙΣΤΟΥ, ΗΛΕΚΤΡΟΝΙΚΑ ΤΣΙΓΑΡΑ, ΕΙΔΗ ΔΩΡΩΝ",,,el|en
d028,BAGSBUG.GR,"ΗΦΑΙΣΤΟΥ 11 &, ΝΙΣΟΥ 2, ΑΘΗΝΑ 105 55",2103214957,ΕΙΔΗ ΤΑΞΙΔΙΟΥ ΚΑΙ ΠΑΡΑΔΟΣΙΑΚΑ ΠΡΟΪΟΝΤΑ,,,el|en
d029,BAZAR ORIENTAL,"ΗΦΑΙΣΤΟΥ 12, ΑΘΗΝΑ 105 55",2102444132,ΕΙΔΗ ΚΑΠΝΙΣΤΟΥ,,,el|en
d030,JUMBO,"3Ο ΧΛΜ ΑΛΕΞ/ΠΟΛΗΣ- ΣΥΝΟΡΩΝ,  ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ 68100",2165004000,ΤΑ JUMBO ΣΥΝΙΣΤΟΥΝ ΠΛΕΟΝ ΤΑ ΜΕΓΑΛΥΤΕΡΑ ΚΑΤΑΣΤΗΜΑΤΑ ΠΑΙΧΝΙΔΙΩΝ ΣΤΗ ΧΩΡΑ ΜΑΣ. (ΣΕ ΟΛΑ ΤΑ ΚΑΤΑΣΤΗΜΑΤΑ JUMBO ΘΑ ΒΡΕΙΤΕ ΤΑ ΚΛΑΣΙΚΑ ΧΑΡΤΑΚΙΑ & ΦΙΛΤΡΑΚΙΑ ΣΤΡΙΦΤΟΥ ΠΥΘΙΑ),,,el|en
d031,JUMBO,ΑΓ. ΠΑΡΑΣΚΕΥΗ ΧΑΛΑΝΔΡΙΟΥ 15-17 | 153 43,2165004000,ΤΑ JUMBO ΣΥΝΙΣΤΟΥΝ ΠΛΕΟΝ ΤΑ ΜΕΓΑΛΥΤΕΡΑ ΚΑΤΑΣΤΗΜΑΤΑ ΠΑΙΧΝΙΔΙΩΝ ΣΤΗ ΧΩΡΑ ΜΑΣ. (ΣΕ ΟΛΑ ΤΑ ΚΑΤΑΣΤΗΜΑΤΑ JUMBO ΘΑ ΒΡΕΙΤΕ ΤΑ ΚΛΑΣΙΚΑ ΧΑΡΤΑΚΙΑ & ΦΙΛΤΡΑΚΙΑ ΣΤΡΙΦΤΟΥ ΠΥΘΙΑ),,,el|en
d032,JUMBO,ΆΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ ΑΧΑΡΝΩΝ 373-375 | 11143,2165004000,ΤΑ JUMBO ΣΥΝΙΣΤΟΥΝ ΠΛΕΟΝ ΤΑ ΜΕΓΑΛΥΤΕΡΑ ΚΑΤΑΣΤΗΜΑΤΑ ΠΑΙΧΝΙΔΙΩΝ ΣΤΗ ΧΩΡΑ ΜΑΣ. (ΣΕ ΟΛΑ ΤΑ ΚΑΤΑΣΤΗΜΑΤΑ JUMBO ΘΑ ΒΡΕΙΤΕ ΤΑ ΚΛΑΣΙΚΑ ΧΑΡΤΑΚΙΑ & ΦΙΛΤΡΑΚΙΑ ΣΤΡΙΦΤΟΥ ΠΥΘΙΑ),,,el|en
d033,JUMBO,"ΑΓΡΙΝΙΟ, ΠΑΠΑΦΛΕΣΣΑ & ΤΕΡΤΣΕΤΗ 30100",2165004000,ΤΑ JUMBO ΣΥΝΙΣΤΟΥΝ ΠΛΕΟΝ ΤΑ ΜΕΓΑΛΥΤΕΡΑ ΚΑΤΑΣΤΗΜΑΤΑ ΠΑΙΧΝΙΔΙΩΝ ΣΤΗ ΧΩΡΑ ΜΑΣ. (ΣΕ ΟΛΑ ΤΑ ΚΑΤΑΣΤΗΜΑΤΑ JUMBO ΘΑ ΒΡΕΙΤΕ ΤΑ ΚΛΑΣΙΚΑ ΧΑΡΤΑΚΙΑ & ΦΙΛΤΡΑΚΙΑ ΣΤΡΙΦΤΟΥ ΠΥΘΙΑ),,,el|en
d034,"IQ STORES, ἉΓ. ΔΗΜΗΤΡΙΟΥ 23","ἉΓ. ΔΗΜΗΤΡΙΟΥ 23, ΘΕΣΣΑΛΟΝΙΚΗ 546 32",2310555936,ΚΑΤΑΣΤΗΜΑ ΨΙΛΙΚΩΝ,,,el|en
d035,"IQ STORES, Π. ΤΣΑΛΔΑΡΗ 30","Π. ΤΣΑΛΔΑΡΗ 30, ΝΕΑΠΟΛΗ 567 28",2310618167,ΠΑΝΤΟΠΩΛΕΙΟ,,,el|en
d036,"IQ STORES, ΚΑΣΣΑΝΔΡΟΥ 153","ΚΑΣΣΑΝΔΡΟΥ 153, ΘΕΣΣΑΛΟΝΙΚΗ 546 34",2310208047,ΚΑΦΕΣ ΣΤΑ ΟΡΘΙΑ,,,el|en
d037,"IQ STORES, ΛΕΩΦ. ΣΤΡΑΤΟΥ 87","ΛΕΩΦ. ΣΤΡΑΤΟΥ 87, ΠΟΛΙΧΝΗ ΘΕΣΣΑΛΟΝΙΚΗΣ 565 33",2317009701,ΠΑΝΤΟΠΩΛΕΙΟ,,,el|en
d038,"IQ STORES, ΕΛ. ΒΕΝΙΖΕΛΟΥ 75","ΕΛ. ΒΕΝΙΖΕΛΟΥ 75, ΖΩΟΔΟΧΟΥ ΠΗΓΗΣ 19, ΑΜΠΕΛΟΚΗΠΟΙ 561 21",2310748875,ΚΑΦΕΤΕΡΙΑ,,,el|en
d039,"IQ STORES, ΑΓΝΩΣΤΟΥ ΣΤΡΑΤΙΩΤΟΥ 74","ΑΓΝΩΣΤΟΥ ΣΤΡΑΤΙΩΤΟΥ 74, ΠΟΛΙΧΝΗ ΘΕΣΣΑΛΟΝΙΚΗΣ 565 33",,ΚΑΤΑΣΤΗΜΑ ΨΙΛΙΚΩΝ,,,el|en
d040,"IQ STORES, ΕΛ. ΒΕΝΙΖΕΛΟΥ 23","ΕΛ. ΒΕΝΙΖΕΛΟΥ 23, ΝΕΑΠΟΛΗ 567 27",,ΠΕΡΙΠΤΕΡΟ,,,el|en
d041,"BARISTART, ΚΑΡΑΟΛΗ ΚΑΙ ΔΗΜΗΤΡΙΟΥ 183","ΚΑΡΑΟΛΗ ΚΑΙ ΔΗΜΗΤΡΙΟΥ 183, ΕΥΟΣΜΟΣ 562 24",2311829412,ΚΑΦΕΤΕΡΙΑ,,,el|en
d042,"BARISTART, ΙΟΥΛΙΑΝΟΥ 33","ΙΟΥΛΙΑΝΟΥ 33, ΘΕΣΣΑΛΟΝΙΚΗ 546 34",2314073130,ΚΑΦΕΤΕΡΙΑ,,,el|en
d043,"BARISTART, ΑΡΙΣΤΟΤΕΛΟΥΣ 21-23","ΑΡΙΣΤΟΤΕΛΟΥΣ 21-23, ΘΕΣΣΑΛΟΝΙΚΗ 546 24",,ΚΑΦΕΤΕΡΙΑ,,,el|en
d044,"BARISTART, ΛΕΩΦ. 28ΗΣ ὈΚΤΩΒΡΙΟΥ 138","ΛΕΩΦ. 28ΗΣ ὈΚΤΩΒΡΙΟΥ 138, ΑΜΠΕΛΟΚΗΠΟΙ 561 23",2310743978,ΚΑΦΕΤΕΡΙΑ,,,el|en
d045,"BARISTART, ΜΟΝΑΣΤΗΡΙΟΥ 28","ΜΟΝΑΣΤΗΡΙΟΥ 28, ΘΕΣΣΑΛΟΝΙΚΗ 546 27",,ΚΑΦΕΤΕΡΙΑ,,,el|en
d046,"BARISTART, ΒΟΥΛΓΑΡΗ 20","ΒΟΥΛΓΑΡΗ 20, ΘΕΣΣΑΛΟΝΙΚΗ 542 48",2310300888,ΚΑΦΕΤΕΡΙΑ,,,el|en
d047,"BARISTART, ΓΕΩΡΓΙΟΥ ΠΑΠΑΝΔΡΕΟΥ 1","ΓΕΩΡΓΙΟΥ ΠΑΠΑΝΔΡΕΟΥ 1, ΘΕΣΣΑΛΟΝΙΚΗ 546 55",2317005914,ΚΑΦΕΤΕΡΙΑ,,,el|en
d048,"BARISTART, ΚΑΣΣΑΝΔΡΟΥ 72","ΚΑΣΣΑΝΔΡΟΥ 72, ΘΕΣΣΑΛΟΝΙΚΗ 546 33",2310278799,ΚΑΦΕΤΕΡΙΑ,,,el|en
d049,"BARISTART, ΟΔΥΣΣΕΩΣ ΚΑΙ ΑΠΟΣΤΟΛΟΥ ΦΩΚΑ 2","ΟΔΥΣΣΕΩΣ ΚΑΙ ΑΠΟΣΤΟΛΟΥ ΦΩΚΑ 2, ΣΥΚΙΕΣ 566 26",,ΚΑΦΕΤΕΡΙΑ,,,el|en
d050,"BARISTART, ΝΙΚ. ΠΑΡΑΣΚΕΥΑ 2","ΝΙΚ. ΠΑΡΑΣΚΕΥΑ 2, ΣΥΚΙΕΣ 566 25",,ΚΑΦΕΤΕΡΙΑ,,,el|en
d051,"BARISTART, ΑΓΙΟΥ ΝΕΣΤΟΡΟΣ ΚΑΙ, ἈΡΚΑΔΙΟΥΠΟΛΕΩΣ 2","ΑΓΙΟΥ ΝΕΣΤΟΡΟΣ ΚΑΙ, ἈΡΚΑΔΙΟΥΠΟΛΕΩΣ 2, ΘΕΣΣΑΛΟΝΙΚΗ 546 32",2311820685,ΚΑΦΕΤΕΡΙΑ,,,el|en
d052,"BARISTART, ΜΑΙΑΝΔΡΟΥ 94","ΜΑΙΑΝΔΡΟΥ 94, ΕΥΟΣΜΟΣ 562 24",2310760480,ΚΑΦΕΤΕΡΙΑ,,,el|en
d053,"BARISTART, 25ΗΣ ΜΑΡΤΙΟΥ 12","25ΗΣ ΜΑΡΤΙΟΥ 12, ΕΥΚΑΡΠΙΑ 564 29",,ΚΑΦΕΤΕΡΙΑ,,,el|en
d054,"BARISTART, ΛΕΩΦ. ΑΝΔΡΕΑ ΠΑΠΑΝΔΡΕΟΥ 60","ΛΕΩΦ. ΑΝΔΡΕΑ ΠΑΠΑΝΔΡΕΟΥ 60, ΝΕΑΠΟΛΗ 567 28",2310615556,ΚΑΦΕΤΕΡΙΑ,,,el|en
d055,"BARISTART, ΜΑΥΡΟΜΙΧΑΛΗ 77","ΜΑΥΡΟΜΙΧΑΛΗ 77, ΠΟΛΙΧΝΗ ΘΕΣΣΑΛΟΝΙΚΗΣ 565 33",2310642738,ΚΑΦΕΤΕΡΙΑ,,,el|en
d056,"BARISTART, ΕΠΤΑΠΥΡΓΙΟΥ 65","ΕΠΤΑΠΥΡΓΙΟΥ 65, ΘΕΣΣΑΛΟΝΙΚΗ 566 25",2311242516,ΚΑΦΕΤΕΡΙΑ,,,el|en
d057,"BARISTART, ΛΕΩΦ. ΠΑΠΑΝΙΚΟΛΑΟΥ 51","ΛΕΩΦ. ΠΑΠΑΝΙΚΟΛΑΟΥ 51, ΘΕΣΣΑΛΟΝΙΚΗ 570 10",2313069939,ΚΑΦΕΤΕΡΙΑ,,,el|en
d058,"BARISTART, ΘΕΣΣΑΛΟΝΙΚΗΣ 29","ΘΕΣΣΑΛΟΝΙΚΗΣ 29, ΠΕΡΑΙΑ 570 19",2392020344,ΚΑΦΕΤΕΡΙΑ,,,el|en
d059,ΑΦΟΙ ΔΕΣΠΟΛΑΡΗ,"ΜΑΚΕΔΟΝΙΑΣ 7, ΚΑΛΑΜΑΡΙΑ 551 32",2310458471,ΨΙΛΙΚΑ,,,el|en
d060,DESPOLARI ANDREA,"25ΗΣ ΜΑΡΤΙΟΥ, ΘΕΣΣΑΛΟΝΙΚΗ",2310327344,ΨΙΛΙΚΑ,,,el|en
d061,THESS ALL IN,"ΔΙΟΓΕΝΟΥΣ 33, ΘΕΣΣΑΛΟΝΙΚΗ 544 53",2314070782,ΨΙΛΙΚΑ,,,el|en
d062,ΧΟΝΔΡΟΥΔΗ ΑΝΑΣΤΑΣΙΑ,"ΑΓΝΩΣΤΟΥ ΣΤΡΑΤΙΩΤΟΥ 108, ΠΟΛΙΧΝΗ ΘΕΣΣΑΛΟΝΙΚΗΣ 565 33",2316019400,ΨΙΛΙΚΑ,,,el|en
d063,ΚΑΖΑΖΗΣ,"ΜΕΤΑΞΑ ΙΩΑΝΝΗ 47, ΑΓ. ΑΘΑΝΑΣΙΟΣ 570 03",2310702015,ΨΙΛΙΚΑ,,,el|en
d064,ΜΠΑΡΙΩΤΗ,"ΧΑΡ. ΤΡΙΚΟΥΠΗ & Π. ΜΕΛΑ, ΑΓ. ΑΘΑΝΑΣΙΟΣ 570 03",6981177043,ΨΙΛΙΚΑ,,,el|en
d065,STREET KIOSK,"ΠΟΛΥΤΕΧΝΕΙΟΥ 5, ΝΕΑ ΜΗΧΑΝΙΩΝΑ 570 04",2392032323,ΜΙΝΙ ΜΑΡΚΕΤ,,,el|en
d066,M ΚΟΚΚΙΝΟΣ,"ΑΜΠΕΛΟΚΗΠΩΝ 52, ΠΕΡΑΙΑ 570 19",2392020300,ΜΙΝΙ ΜΑΡΚΕΤ,,,el|en
d067,MAZISU IKE,ΣΤΕΛΙΟΥ ΚΑΖΑΝΤΖΙΔΗ  ΜΕ ΜΑΝΟΥ ΛΟΙΖΟΥ ΓΩΝΙΑ 0 ΓΕΩΡΓ. ΣΧΟΛΗ,2310383941,ΑΝΑΨΥΚΤΗΡΙΟ,,,el|en
d068,MAZISU KALAMARIA,"ΖΑΡΙΦΗ 2, ΚΑΛΑΜΑΡΙΑ 551 34",2310024459,ΠΑΝΤΟΠΩΛΕΙΟ,,,el|en
d069,ΚΟΥΤΣΟΣ ΔΗΜΗΤΡΙΟΣ,"ΠΑΠΑΦΗ 92, ΘΕΣΣΑΛΟΝΙΚΗ 544 53",2310939530,ΠΑΝΤΟΠΩΛΕΙΟ,,,el|en
d070,ΧΗΝΗΣ,"ΜΕΛΕΝΙΚΟΥ 43, ΘΕΣΣΑΛΟΝΙΚΗ 542 48",2310248473,ΨΙΛΙΚΑ,,,el|en
d071,ΜΠΕΚΙΑΡΙΔΟΥ,"ΠΟΛΥΤΕΧΝΕΙΟΥ 41, ΝΕΑ ΜΗΧΑΝΙΩΝΑ 570 04",2392032033,ΑΝΑΨΥΚΤΗΡΙΟ,,,el|en
d072,ΑΡΓΥΡΟΠΟΥΛΟΣ,"ΠΑΠΑΦΗ 137, ΘΕΣΣΑΛΟΝΙΚΗ 544 53",,ΨΙΛΙΚΑ,,,el|en
d073,ΝΙΚΟΛΑΙΔΗΣ,"ΒΑΣ. ΚΩΝΣΤΑΝΤΙΝΟΥ 4, ΔΕΛΤΑ 570 08",2310784159,ΠΑΝΤΟΠΩΛΕΙΟ,,,el|en
d074,PANDA,"ΣΟΛΩΜΟΥ 10, ΚΑΤΕΡΙΝΗ 601 00",6982900465,ΜΙΝΙ ΜΑΡΚΕΤ,,,el|en
d075,ΜΠΟΖΑ,ΠΛΑΤΕΙΑ ΔΡΥΜΟΣ 0 ΛΑΓΚΑΔΑΣ,2394032204,ΨΙΛΙΚΑ,,,el|en
d076,ΟΙΚΟΓΕΝΕΙΑ VLAZZERIA,ΝΕΑ ΠΟΤΙΔΑΙΑ 0 ΝΕΑ ΜΟΥΔΑΝΙΑ,6987143022,ΣΟΥΠΕΡ ΜΑΡΚΕΤ,,,el|en
d077,ΡΑΧΜΑΝΙΔΟΥ,"ΑΓΙΟΥ ΓΕΩΡΓΙΟΥ 5, ΝΕΑ ΜΟΥΔΑΝΙΑ 632 00",2373021791,ΛΙΑΝΙΚΟ ΕΜΠΟΡΙΟ,,,el|en
d078,BERBERI,"ΔΙΟΝΥΣΙΟΥ ΣΟΛΩΜΟΥ 2, ΘΕΣΣΑΛΟΝΙΚΗ 546 24",2310324077,ΛΙΑΝΙΚΟ ΕΜΠΟΡΙΟ,,,el|en
d079,MERKAJ LAURETA,"ΠΑΝΑΓΙΑΣ ΚΟΡΥΦΙΝΗΣ ΚΑΙ ΠΡΟΥΣΣΗΣ, ΝΕΑ ΜΟΥΔΑΝΙΑ 632 00",2370065719,ΜΙΝΙ ΜΑΡΚΕΤ,,,el|en
d080,ΒΕΡΓΟΣ,"ΧΑΛΚΙΔΙΚΗ, ΝΙΚΗΤΗ 630 88",2375772270,ΠΕΡΙΠΤΕΡΟ,,,el|en
d081,ΓΡΙΒΑΣ,"9Ο ΧΛΜ. Π.Ε.Ο. ΘΕΣΣΑΛΟΝΙΚΗΣ - ΚΙΛΚΙΣ, 54500 ΝΕΟΧΩΡΟΥΔΑ ΘΕΣΣΑΛΟΝΙΚΗΣ",6986319255,ΑΝΑΨΥΚΤΗΡΙΟ,,,el|en
d082,ΜΑΝΟΥΣΟΣ,ΠΕΥΚΟΧΩΡΙ ΠΑΛΛΗΝΗ 630 85,2374061757,ΠΑΝΤΟΠΩΛΕΙΟ,,,el|en
d083,ΠΙΕΤΡΙ,"ΜΕΓ. ΑΛΕΞΑΝΔΡΟΥ 4, ΝΕΑ ΜΟΥΔΑΝΙΑ 632 00",2374024045,ΠΑΝΤΟΠΩΛΕΙΟ,,,el|en
d084,WE STORE DELICATE,"ΑΝΤΩΝΗ ΤΡΙΤΣΗ 100, ΕΥΟΣΜΟΣ 562 24",2310603630,ΨΙΛΙΚΑ,,,el|en
d085,ΚΑΡΑΜΠΕΖΕΡΙΑΝΟΓΛΟΥ,"ΜΑΚΕΔΟΝΙΑΣ 7, ΚΑΛΑΜΑΡΙΑ 551 32",2310458471,ΨΙΛΙΚΑ,,,el|en
d086,ΚΑΡΑΚΛΙΔΗΣ,"ΠΡΟΕΚΤΑΣΗ ΣΤΡΑΤΗΓΟΥ ΜΑΚΡΥΓΙΑΝΝΗ 7, ΕΥΟΣΜΟΣ 562 24",6949320449,ΕΜΠΟΡΙΑ ΠΟΤΩΝ,,,el|en
d087,SMART ΑΞΕΣΟΥΑΡ ΑΙΓΑΛΕΩ & ΣΙΑ Ε.Ε,"ΣΜΥΡΝΗΣ 42, 12242",2105310301,ΕΙΔΗ ΚΙΝΗΤΗΣ-ΑΞΕΣΟΥΑΡ-ΔΩΡΑ,,,el|en
d088,ΣΤΥΛΙΑΝΗ Γ.ΚΟΤΡΩΖΟΥ,"ΕΛΕΥΘΕΡΙΑΣ  94, 18863",2104020724,ΠΕΡΙΠΤΕΡΟ,,,el|en
d089,ΚΥΡΙΑΚΟΥ ΚΩΝΣΤΑΝΤΙΝΑ,"ΑΓ.ΜΕΛΕΤΙΟΥ 193Δ, 10443",2111837299,ΠΡΟΙΟΝΤΑ ΚΑΠΝΟΥ,,,el|en
